Abbreviation,Time Zone,UTC offset
NUT,Niue Time,-11.00
NZDT,New Zealand Daylight Time,13.00
NZST,New Zealand Standard Time,12.00
OMST,Omsk Time,6.00
ORAT,Oral Time,5.00
PDT,Pacific Daylight Time,-7.00
PET,Peru Time,-5.00
PETT,Kamchatka Time,12.00
PGT,Papua New Guinea Time,10.00
PHOT,Phoenix Island Time,13.00
PhST,Philippine Standard Time,8.00
PHT,Philippine Time,8.00
PKT,Pakistan Standard Time,5.00
PMDT,Saint Pierre and Miquelon Daylight time,-2.00
PMST,Saint Pierre and Miquelon Standard Time,-3.00
PONT,Pohnpei Standard Time,11.00
PST,Pacific Standard Time,-8.00
PWT,Palau Time,9.00
PYST,Paraguay Summer Time,-3.00
PYT,Paraguay Time,-4.00
RET,Réunion Time,4.00
ROTT,Rothera Research Station Time,-3.00
SAKT,Sakhalin Island time,11.00
SAMT,Samara Time,4.00
SAST,South African Standard Time,2.00
SBT,Solomon Islands Time,11.00
SCT,Seychelles Time,4.00
SGT,Singapore Time,8.00
SLST,Sri Lanka Standard Time,5.50
SRET,Srednekolymsk Time,11.00
SRT,Suriname Time,-3.00
SST,Samoa Standard Time,-11.00
SYOT,Showa Station Time,3.00
TAHT,Tahiti Time,-10.00
TFT,French Southern and Antarctic Time,5.00
THA,Thailand Standard Time,7.00
TJT,Tajikistan Time,5.00
TKT,Tokelau Time,13.00
TLT,Timor Leste Time,9.00
TMT,Turkmenistan Time,5.00
TOT,Tonga Time,13.00
TRT,Turkey Time,3.00
TVT,Tuvalu Time,12.00
ULAST,Ulaanbaatar Summer Time,9.00
ULAT,Ulaanbaatar Standard Time,8.00
USZ1,Kaliningrad Time,2.00
UTC,Coordinated Universal Time,0.00
UYST,Uruguay Summer Time,-2.00
UYT,Uruguay Standard Time,-3.00
UZT,Uzbekistan Time,5.00
VET,Venezuelan Standard Time,-4.00
VLAT,Vladivostok Time,10.00
VOLT,Volgograd Time,4.00
VOST,Vostok Station Time,6.00
VUT,Vanuatu Time,11.00
WAKT,Wake Island Time,12.00
WAST,West Africa Summer Time,2.00
WAT,West Africa Time,1.00
WEST,Western European Summer Time,1.00
WET,Western European Time,0.00
WFT,Wallis and Futuna Time,12.00
WGST,West Greenland Time,-3.00
WGST,West Greenland Summer Time,-2.00
WIB,Western Indonesia Time,7.00
WIT,Eastern Indonesia Time,9.00
WST,Western Standard Time,8.00
YAKT,Yakutsk Time,9.00
YEKT,Yekaterinburg Time,5.00
